Wafer_ID,Stage_Name,Defect_Type,X_px,Y_px,Size_px
WF-003,01_Lithography,BRIDGE,27.1,81.7,16.3
WF-009,01_Lithography,BRIDGE,64.6,49.2,9.2
WF-009,01_Lithography,BRIDGE,79.1,47.7,16.7
WF-010,02_Etch,VOID,23.3,38.2,2.7
WF-010,02_Etch,PARTICLE,19.3,20.4,2.8
WF-011,01_Lithography,BRIDGE,28.2,79.7,16.7
WF-014,03_CMP,PARTICLE,47.4,64.6,4.5
WF-015,01_Lithography,MISSING_CONTACT,67.6,60.7,2.5
WF-015,01_Lithography,PARTICLE,31.9,72.2,5.8
WF-016,02_Etch,VOID,66.6,79.3,3.2
WF-016,04_Metal1,BRIDGE,62.3,83.4,8.1
WF-018,01_Lithography,MISSING_CONTACT,44.6,64.0,3.1
WF-018,01_Lithography,VOID,47.9,58.8,2.9
WF-018,02_Etch,PARTICLE,44.9,29.4,2.7
WF-019,02_Etch,BRIDGE,81.3,67.2,15.3
WF-019,03_CMP,MISSING_CONTACT,56.6,62.9,3.0
WF-019,03_CMP,MISSING_CONTACT,42.7,54.6,3.6
WF-024,04_Metal1,VOID,30.6,65.3,5.2
WF-024,04_Metal1,BRIDGE,45.3,64.6,19.4
WF-025,01_Lithography,VOID,20.7,22.5,4.4
WF-025,01_Lithography,MISSING_CONTACT,30.5,64.7,2.6
WF-025,02_Etch,MISSING_CONTACT,28.5,71.0,3.0
WF-025,02_Etch,MISSING_CONTACT,51.7,55.8,2.7
WF-026,01_Lithography,MISSING_CONTACT,16.8,17.8,2.6
WF-026,01_Lithography,PARTICLE,38.4,44.7,3.0
WF-027,03_CMP,MISSING_CONTACT,41.0,78.8,2.5
WF-027,04_Metal1,PARTICLE,34.7,48.3,5.8
WF-027,04_Metal1,MISSING_CONTACT,35.2,35.4,3.0
WF-028,01_Lithography,VOID,17.2,72.1,2.0
WF-028,02_Etch,VOID,74.3,62.4,4.4
WF-028,04_Metal1,MISSING_CONTACT,36.2,57.6,2.8
WF-028,04_Metal1,MISSING_CONTACT,39.9,67.5,3.9
WF-031,03_CMP,VOID,17.9,38.4,4.2
WF-032,01_Lithography,VOID,29.6,82.5,4.4
WF-032,01_Lithography,BRIDGE,50.5,55.8,18.7
WF-034,03_CMP,MISSING_CONTACT,82.5,61.0,3.6
WF-034,03_CMP,VOID,23.5,61.2,4.8
WF-035,03_CMP,PARTICLE,18.2,69.3,6.8
WF-035,03_CMP,MISSING_CONTACT,54.5,75.6,3.3
WF-035,04_Metal1,MISSING_CONTACT,83.7,35.7,2.8
WF-035,04_Metal1,VOID,79.2,43.2,4.7
WF-037,03_CMP,BRIDGE,22.2,26.7,14.3
WF-037,03_CMP,PARTICLE,74.6,36.6,4.7
WF-038,01_Lithography,PARTICLE,69.6,35.8,5.8
WF-038,04_Metal1,BRIDGE,67.2,75.7,9.3
WF-038,04_Metal1,BRIDGE,41.9,48.5,16.2
WF-039,02_Etch,BRIDGE,38.3,24.3,12.3
WF-039,02_Etch,VOID,79.9,50.7,3.6
WF-043,02_Etch,PARTICLE,78.1,47.3,4.6
WF-049,02_Etch,VOID,32.7,42.8,5.7
WF-049,02_Etch,VOID,75.4,58.0,2.6
WF-052,01_Lithography,PARTICLE,23.9,36.9,3.2
WF-055,02_Etch,PARTICLE,24.2,30.5,2.4
WF-055,02_Etch,VOID,54.6,17.9,5.9
WF-058,03_CMP,MISSING_CONTACT,73.3,49.0,3.9
WF-058,03_CMP,MISSING_CONTACT,71.7,68.7,3.9
WF-059,01_Lithography,PARTICLE,40.6,48.3,4.2
WF-060,02_Etch,MISSING_CONTACT,74.6,76.6,3.4
WF-060,03_CMP,MISSING_CONTACT,83.9,15.8,3.1
WF-060,03_CMP,MISSING_CONTACT,16.8,29.9,2.7
WF-060,04_Metal1,VOID,81.2,63.4,5.7
WF-061,03_CMP,VOID,74.5,63.9,3.8
WF-063,03_CMP,PARTICLE,74.3,32.0,6.0
WF-063,03_CMP,PARTICLE,77.1,65.3,5.4
WF-065,01_Lithography,PARTICLE,39.0,57.8,5.6
WF-067,02_Etch,BRIDGE,25.8,68.1,18.5
WF-067,02_Etch,MISSING_CONTACT,15.8,40.0,2.8
WF-071,03_CMP,VOID,42.6,67.4,3.0
WF-071,04_Metal1,MISSING_CONTACT,17.8,23.8,3.3
WF-072,01_Lithography,MISSING_CONTACT,27.1,81.3,3.7
WF-072,01_Lithography,VOID,62.9,26.5,5.9
WF-072,03_CMP,PARTICLE,77.3,58.4,6.0
WF-074,01_Lithography,PARTICLE,80.5,78.9,5.5
WF-075,04_Metal1,MISSING_CONTACT,61.4,76.7,3.5
WF-075,04_Metal1,VOID,81.1,81.2,5.0
WF-079,02_Etch,PARTICLE,72.8,81.8,4.7
WF-079,04_Metal1,PARTICLE,16.4,78.2,4.6
WF-081,04_Metal1,MISSING_CONTACT,35.7,22.1,3.1
WF-081,04_Metal1,VOID,84.8,69.7,4.3
WF-083,03_CMP,MISSING_CONTACT,78.9,30.8,2.5
WF-083,03_CMP,PARTICLE,69.9,23.4,6.2
WF-083,04_Metal1,BRIDGE,37.9,18.6,16.7
WF-085,03_CMP,MISSING_CONTACT,70.0,39.5,3.2
WF-085,03_CMP,MISSING_CONTACT,24.8,21.2,2.9
WF-086,04_Metal1,VOID,41.9,26.4,5.3
WF-086,04_Metal1,VOID,18.6,63.6,2.2
WF-091,03_CMP,MISSING_CONTACT,19.4,20.5,2.7
WF-091,04_Metal1,BRIDGE,52.8,71.3,14.0
WF-091,04_Metal1,MISSING_CONTACT,27.7,68.9,2.6
WF-093,03_CMP,PARTICLE,43.1,24.3,5.7
WF-094,01_Lithography,VOID,78.4,33.0,2.7
WF-094,01_Lithography,VOID,59.7,68.6,3.4
WF-095,02_Etch,MISSING_CONTACT,25.2,25.6,3.2
WF-095,02_Etch,MISSING_CONTACT,25.9,23.6,3.8
WF-095,04_Metal1,BRIDGE,38.6,69.4,8.4
WF-100,01_Lithography,PARTICLE,17.1,64.2,6.7
WF-100,01_Lithography,VOID,37.8,78.8,5.9
WF-100,03_CMP,VOID,59.6,40.8,2.7
