Wafer_ID,Stage_Name,Stage_Index,Reference_Image,Search_Image,Incremental_dX_nm,Incremental_dY_nm,Incremental_dTheta_deg,Cumulative_dX_nm,Cumulative_dY_nm,Cumulative_dTheta_deg,CD_Bias_nm,Overlay_Error_nm,Local_Pattern_Density,True_Center_X_px,True_Center_Y_px,Defocus_Sigma_px,Defect_Count,Drift_Magnitude_nm,Drift_Risk_Label
WF-001,01_Lithography,1,000_golden_reference.png,WF-001_Stage1_01_Lithography.png,-8.45,-2.049,-0.0111,-8.45,-2.049,-0.0111,0.0,8.695,0.5,500.84,500.2,0.689,0,8.695,NORMAL
WF-001,02_Etch,2,000_golden_reference.png,WF-001_Stage2_02_Etch.png,7.202,5.181,0.0157,-1.247,3.131,0.0046,-0.87,3.37,0.399,500.12,499.69,0.354,0,3.37,NORMAL
WF-001,03_CMP,3,000_golden_reference.png,WF-001_Stage3_03_CMP.png,0.282,-6.464,-0.0113,-0.965,-3.333,-0.0066,-0.865,3.469,0.402,500.1,500.33,1.133,0,3.469,NORMAL
WF-001,04_Metal1,4,000_golden_reference.png,WF-001_Stage4_04_Metal1.png,-8.416,-3.421,0.006,-9.381,-6.753,-0.0006,-0.238,11.559,0.5,500.94,500.68,1.084,0,11.559,NORMAL
WF-002,01_Lithography,1,000_golden_reference.png,WF-002_Stage1_01_Lithography.png,3.964,7.57,-0.0197,3.964,7.57,-0.0197,0.0,8.545,0.5,499.6,499.24,0.359,0,8.545,NORMAL
WF-002,02_Etch,2,000_golden_reference.png,WF-002_Stage2_02_Etch.png,8.728,5.567,-0.0064,12.692,13.136,-0.0261,-0.924,18.266,0.405,498.73,498.69,0.223,0,18.266,NORMAL
WF-002,03_CMP,3,000_golden_reference.png,WF-002_Stage3_03_CMP.png,12.059,-0.941,-0.0163,24.751,12.195,-0.0424,-1.247,27.592,0.409,497.52,498.78,0.558,0,27.592,NORMAL
WF-002,04_Metal1,4,000_golden_reference.png,WF-002_Stage4_04_Metal1.png,9.645,3.867,0.0123,34.395,16.062,-0.0301,-0.509,37.961,0.5,496.56,498.39,0.857,0,37.961,NORMAL
WF-003,01_Lithography,1,000_golden_reference.png,WF-003_Stage1_01_Lithography.png,12.409,-0.186,0.0021,12.409,-0.186,0.0021,0.0,12.41,0.5,498.76,500.02,0.597,1,12.41,NORMAL
WF-003,02_Etch,2,000_golden_reference.png,WF-003_Stage2_02_Etch.png,9.247,4.133,0.0145,21.655,3.947,0.0165,-1.262,22.012,0.403,497.83,499.61,0.72,0,22.012,NORMAL
WF-003,03_CMP,3,000_golden_reference.png,WF-003_Stage3_03_CMP.png,6.501,-6.175,-0.0109,28.156,-2.228,0.0057,-1.43,28.244,0.395,497.18,500.22,0.641,0,28.244,NORMAL
WF-003,04_Metal1,4,000_golden_reference.png,WF-003_Stage4_04_Metal1.png,-7.245,-2.81,-0.016,20.911,-5.038,-0.0103,-0.964,21.51,0.5,497.91,500.5,1.39,0,21.51,NORMAL
WF-004,01_Lithography,1,000_golden_reference.png,WF-004_Stage1_01_Lithography.png,-0.974,-0.337,-0.0116,-0.974,-0.337,-0.0116,0.0,1.03,0.5,500.1,500.03,1.023,0,1.03,NORMAL
WF-004,02_Etch,2,000_golden_reference.png,WF-004_Stage2_02_Etch.png,-3.126,9.86,0.0059,-4.1,9.523,-0.0057,-1.287,10.368,0.42,500.41,499.05,0.566,0,10.368,NORMAL
WF-004,03_CMP,3,000_golden_reference.png,WF-004_Stage3_03_CMP.png,-5.235,6.124,-0.0135,-9.335,15.647,-0.0192,-1.384,18.22,0.414,500.93,498.44,0.649,0,18.22,NORMAL
WF-004,04_Metal1,4,000_golden_reference.png,WF-004_Stage4_04_Metal1.png,12.77,4.52,0.0023,3.434,20.167,-0.0169,-0.673,20.458,0.5,499.66,497.98,1.042,0,20.458,NORMAL
WF-005,01_Lithography,1,000_golden_reference.png,WF-005_Stage1_01_Lithography.png,8.072,-2.877,-0.0187,8.072,-2.877,-0.0187,0.0,8.569,0.5,499.19,500.29,0.485,0,8.569,NORMAL
WF-005,02_Etch,2,000_golden_reference.png,WF-005_Stage2_02_Etch.png,-2.06,-2.181,-0.0116,6.012,-5.058,-0.0303,-1.554,7.857,0.409,499.4,500.51,0.513,0,7.857,NORMAL
WF-005,03_CMP,3,000_golden_reference.png,WF-005_Stage3_03_CMP.png,10.28,-1.336,0.0062,16.292,-6.394,-0.0241,-1.638,17.502,0.409,498.37,500.64,0.958,0,17.502,NORMAL
WF-005,04_Metal1,4,000_golden_reference.png,WF-005_Stage4_04_Metal1.png,11.12,1.259,-0.0094,27.412,-5.134,-0.0335,-1.19,27.889,0.5,497.26,500.51,0.875,0,27.889,NORMAL
WF-006,01_Lithography,1,000_golden_reference.png,WF-006_Stage1_01_Lithography.png,-3.22,3.523,0.0159,-3.22,3.523,0.0159,0.0,4.772,0.5,500.32,499.65,0.532,0,4.772,NORMAL
WF-006,02_Etch,2,000_golden_reference.png,WF-006_Stage2_02_Etch.png,-0.213,-3.052,0.0199,-3.433,0.47,0.0358,-1.208,3.465,0.42,500.34,499.95,0.969,0,3.465,NORMAL
WF-006,03_CMP,3,000_golden_reference.png,WF-006_Stage3_03_CMP.png,-7.0,-6.152,-0.0156,-10.433,-5.682,0.0202,-1.106,11.88,0.412,501.04,500.57,0.866,0,11.88,NORMAL
WF-006,04_Metal1,4,000_golden_reference.png,WF-006_Stage4_04_Metal1.png,8.426,0.599,-0.0175,-2.007,-5.083,0.0027,-0.577,5.465,0.5,500.2,500.51,0.876,0,5.465,NORMAL
WF-007,01_Lithography,1,000_golden_reference.png,WF-007_Stage1_01_Lithography.png,2.641,10.479,0.0144,2.641,10.479,0.0144,0.0,10.807,0.5,499.74,498.95,0.309,0,10.807,NORMAL
WF-007,02_Etch,2,000_golden_reference.png,WF-007_Stage2_02_Etch.png,-8.747,5.973,0.0073,-6.107,16.452,0.0217,-1.23,17.549,0.41,500.61,498.35,0.791,0,17.549,NORMAL
WF-007,03_CMP,3,000_golden_reference.png,WF-007_Stage3_03_CMP.png,-3.13,4.537,-0.0155,-9.237,20.99,0.0062,-1.282,22.932,0.424,500.92,497.9,1.028,0,22.932,NORMAL
WF-007,04_Metal1,4,000_golden_reference.png,WF-007_Stage4_04_Metal1.png,0.982,10.169,0.015,-8.255,31.158,0.0212,-0.824,32.233,0.5,500.83,496.88,1.322,0,32.233,NORMAL
WF-008,01_Lithography,1,000_golden_reference.png,WF-008_Stage1_01_Lithography.png,-5.07,9.427,0.0148,-5.07,9.427,0.0148,0.0,10.704,0.5,500.51,499.06,0.303,0,10.704,NORMAL
WF-008,02_Etch,2,000_golden_reference.png,WF-008_Stage2_02_Etch.png,-2.434,4.501,0.0044,-7.504,13.928,0.0192,-0.922,15.821,0.404,500.75,498.61,1.069,0,15.821,NORMAL
WF-008,03_CMP,3,000_golden_reference.png,WF-008_Stage3_03_CMP.png,7.775,2.709,0.0111,0.271,16.637,0.0303,-0.898,16.639,0.418,499.97,498.34,0.683,0,16.639,NORMAL
WF-008,04_Metal1,4,000_golden_reference.png,WF-008_Stage4_04_Metal1.png,-8.987,-1.165,-0.0192,-8.716,15.472,0.0111,-0.041,17.758,0.5,500.87,498.45,1.236,0,17.758,NORMAL
WF-009,01_Lithography,1,000_golden_reference.png,WF-009_Stage1_01_Lithography.png,9.297,-1.465,-0.0177,9.297,-1.465,-0.0177,0.0,9.411,0.5,499.07,500.15,0.584,2,9.411,NORMAL
WF-009,02_Etch,2,000_golden_reference.png,WF-009_Stage2_02_Etch.png,10.316,10.045,-0.0166,19.613,8.58,-0.0343,-1.189,21.408,0.41,498.04,499.14,0.975,0,21.408,NORMAL
WF-009,03_CMP,3,000_golden_reference.png,WF-009_Stage3_03_CMP.png,-7.477,6.691,0.0106,12.136,15.271,-0.0236,-1.486,19.506,0.402,498.79,498.47,0.794,0,19.506,NORMAL
WF-009,04_Metal1,4,000_golden_reference.png,WF-009_Stage4_04_Metal1.png,1.456,2.896,-0.0094,13.592,18.168,-0.033,-0.663,22.689,0.5,498.64,498.18,1.203,0,22.689,NORMAL
WF-010,01_Lithography,1,000_golden_reference.png,WF-010_Stage1_01_Lithography.png,-4.34,2.707,0.0092,-4.34,2.707,0.0092,0.0,5.116,0.5,500.43,499.73,0.426,0,5.116,NORMAL
